option analize...
confguration analyze... : ysd-path-planner.conf
YPSpur max velocity : 0.7
YPSpur max acceleration : 3.14
YPSpur max angle velocity : 0.7
YPSpur max angle acceleration : 2
YPSpur Spur_near_pos detection angle : 3
restart que pipe path : [string data]
Pre-Crash Safety Margin x : 0.6
Pre-Crash Safety Margin y : 0.3
Potential method repulsion detection distance : 0
Potential method gravity gain : 0
Potential method repulsion gain : 0
Potential method launch time : 0
sokuiki_fs SSM id : 0
route file opened : Release/keiro.dat
1 route found
route[0]: 5 waypoints
waypoint[0][  0] x:0.000	y:0.000	 way:1 stop:0 goal:0
waypoint[0][  1] x:2.000	y:0.000	 way:1 stop:0 goal:0
waypoint[0][  2] x:2.000	y:1.000	 way:1 stop:0 goal:0
waypoint[0][  3] x:0.000	y:1.000	 way:1 stop:0 goal:0
waypoint[0][  4] x:0.000	y:0.000	 way:1 stop:0 goal:0
スタートの位置、姿勢
原点からスタート : waypoint[0][  0] : 0.000000 0.000000 0.000000 pi
Initialize FINISHED.
Operation START...
waypoint[0][  1] : 2.000000, 0.000000, 0.000000 pi に向かいます
Spur-free mode
1.安全が確認された場合、Gキーを押してください
g
安全が確認されたので動作を再開します
[DEBUG] x: 0.123527 y: 0.007852, th: 3.945054
[DEBUG] x: 0.126517 y: 0.008058, th: 3.948973
[DEBUG] x: 0.129507 y: 0.008265, th: 3.965463
[DEBUG] x: 0.132508 y: 0.008473, th: 3.978813
[DEBUG] x: 0.135520 y: 0.008682, th: 3.995310
[DEBUG] x: 0.138521 y: 0.008892, th: 4.008660
[DEBUG] x: 0.141522 y: 0.009102, th: 4.034582
[DEBUG] x: 0.144535 y: 0.009315, th: 4.063651
[DEBUG] x: 0.147558 y: 0.009530, th: 4.077007
[DEBUG] x: 0.150593 y: 0.009746, th: 4.099795
[DEBUG] x: 0.153639 y: 0.009964, th: 4.125729
[DEBUG] x: 0.159697 y: 0.010402, th: 4.155588
[DEBUG] x: 0.162743 y: 0.010623, th: 4.156378
[DEBUG] x: 0.165811 y: 0.010846, th: 4.163460
[DEBUG] x: 0.168811 y: 0.011065, th: 4.170524
[DEBUG] x: 0.171857 y: 0.011287, th: 4.158743
[DEBUG] x: 0.174892 y: 0.011508, th: 4.150101
[DEBUG] x: 0.177937 y: 0.011729, th: 4.138319
[DEBUG] x: 0.181029 y: 0.011952, th: 4.120263
[DEBUG] x: 0.184097 y: 0.012173, th: 4.095915
[DEBUG] x: 0.187177 y: 0.012394, th: 4.068427
[DEBUG] x: 0.190269 y: 0.012614, th: 4.050371
[DEBUG] x: 0.193394 y: 0.012835, th: 4.029181
[DEBUG] x: 0.196509 y: 0.013054, th: 4.004845
[DEBUG] x: 0.199623 y: 0.013272, th: 3.980509
[DEBUG] x: 0.202783 y: 0.013492, th: 3.956184
[DEBUG] x: 0.205909 y: 0.013709, th: 3.941280
[DEBUG] x: 0.209081 y: 0.013927, th: 3.913816
[DEBUG] x: 0.212298 y: 0.014147, th: 3.886363
[DEBUG] x: 0.218699 y: 0.014580, th: 3.834592
[DEBUG] x: 0.221950 y: 0.014798, th: 3.797719
[DEBUG] x: 0.225213 y: 0.015015, th: 3.751421
[DEBUG] x: 0.228476 y: 0.015229, th: 3.717694
[DEBUG] x: 0.231785 y: 0.015444, th: 3.683979
[DEBUG] x: 0.235151 y: 0.015661, th: 3.634563
[DEBUG] x: 0.238528 y: 0.015875, th: 3.582008
[DEBUG] x: 0.241894 y: 0.016086, th: 3.545165
[DEBUG] x: 0.245306 y: 0.016297, th: 3.508333
[DEBUG] x: 0.248684 y: 0.016504, th: 3.455778
[DEBUG] x: 0.252107 y: 0.016711, th: 3.396949
[DEBUG] x: 0.255451 y: 0.016910, th: 3.341242
[DEBUG] x: 0.258739 y: 0.017102, th: 3.269805
[DEBUG] x: 0.261980 y: 0.017287, th: 3.179498
[DEBUG] x: 0.265234 y: 0.017467, th: 3.067193
[DEBUG] x: 0.268420 y: 0.017638, th: 2.967443
[DEBUG] x: 0.274849 y: 0.017965, th: 2.733384
[DEBUG] x: 0.278069 y: 0.018119, th: 2.611642
[DEBUG] x: 0.281290 y: 0.018266, th: 2.502471
[DEBUG] x: 0.284512 y: 0.018407, th: 2.393300
[DEBUG] x: 0.287756 y: 0.018542, th: 2.290422
[DEBUG] x: 0.291012 y: 0.018673, th: 2.190689
[DEBUG] x: 0.291012 y: 0.018673, th: 2.190689
[DEBUG] x: 0.297639 y: 0.018921, th: 2.028969
[DEBUG] x: 0.301009 y: 0.019040, th: 1.941838
[DEBUG] x: 0.304357 y: 0.019154, th: 1.848415
[DEBUG] x: 0.307728 y: 0.019263, th: 1.773856
[DEBUG] x: 0.311133 y: 0.019368, th: 1.715020
[DEBUG] x: 0.314584 y: 0.019471, th: 1.637339
[DEBUG] x: 0.318023 y: 0.019570, th: 1.562797
[DEBUG] x: 0.321554 y: 0.019666, th: 1.500851
[DEBUG] x: 0.328662 y: 0.019849, th: 1.370685
[DEBUG] x: 0.332273 y: 0.019935, th: 1.293045
[DEBUG] x: 0.335929 y: 0.020017, th: 1.234274
[DEBUG] x: 0.339586 y: 0.020096, th: 1.181790
[DEBUG] x: 0.343300 y: 0.020173, th: 1.119891
[DEBUG] x: 0.347014 y: 0.020245, th: 1.051706
[DEBUG] x: 0.350648 y: 0.020312, th: 0.980358
[DEBUG] x: 0.354259 y: 0.020374, th: 0.890146
[DEBUG] x: 0.357927 y: 0.020431, th: 0.784233
[DEBUG] x: 0.361607 y: 0.020481, th: 0.687752
