[DEBUG] x: 0.077033 y: 0.001169, th: 1.758012
[DEBUG] x: 0.079391 y: 0.001242, th: 1.774337
[DEBUG] x: 0.081885 y: 0.001319, th: 1.796984
[DEBUG] x: 0.084345 y: 0.001396, th: 1.803906
[DEBUG] x: 0.089402 y: 0.001557, th: 1.842931
[DEBUG] x: 0.091976 y: 0.001640, th: 1.849884
[DEBUG] x: 0.094596 y: 0.001724, th: 1.844276
[DEBUG] x: 0.097261 y: 0.001810, th: 1.870110
[DEBUG] x: 0.099994 y: 0.001899, th: 1.889675
[DEBUG] x: 0.102739 y: 0.001990, th: 1.899815
[DEBUG] x: 0.105529 y: 0.002082, th: 1.935110
[DEBUG] x: 0.108354 y: 0.002178, th: 1.948413
[DEBUG] x: 0.111246 y: 0.002276, th: 1.980592
[DEBUG] x: 0.114116 y: 0.002376, th: 2.006479
[DEBUG] x: 0.117009 y: 0.002477, th: 2.032372
[DEBUG] x: 0.119913 y: 0.002580, th: 2.067697
[DEBUG] x: 0.122794 y: 0.002684, th: 2.109302
[DEBUG] x: 0.125698 y: 0.002791, th: 2.144627
[DEBUG] x: 0.128579 y: 0.002899, th: 2.179946
[DEBUG] x: 0.134398 y: 0.003123, th: 2.272599
[DEBUG] x: 0.137290 y: 0.003238, th: 2.317350
[DEBUG] x: 0.140205 y: 0.003355, th: 2.362107
[DEBUG] x: 0.143142 y: 0.003477, th: 2.400583
[DEBUG] x: 0.146057 y: 0.003599, th: 2.445340
[DEBUG] x: 0.149006 y: 0.003725, th: 2.480677
[DEBUG] x: 0.151931 y: 0.003852, th: 2.503435
[DEBUG] x: 0.154857 y: 0.003979, th: 2.526194
[DEBUG] x: 0.157817 y: 0.004110, th: 2.539533
[DEBUG] x: 0.160754 y: 0.004240, th: 2.540293
[DEBUG] x: 0.163725 y: 0.004372, th: 2.537920
[DEBUG] x: 0.166730 y: 0.004505, th: 2.532412
[DEBUG] x: 0.169713 y: 0.004637, th: 2.533185
[DEBUG] x: 0.172752 y: 0.004772, th: 2.518257
[DEBUG] x: 0.175803 y: 0.004906, th: 2.506475
[DEBUG] x: 0.178865 y: 0.005040, th: 2.504125
[DEBUG] x: 0.181950 y: 0.005175, th: 2.495495
[DEBUG] x: 0.188098 y: 0.005443, th: 2.484515
[DEBUG] x: 0.191183 y: 0.005576, th: 2.494743
[DEBUG] x: 0.194279 y: 0.005711, th: 2.508117
